staff_pick,name_len_clean,blurb_len_clean,staff_pick.1,show_feature_image,video,goal_usd,project_duration_days
False,9,18,False,False,True,25000.0,30
True,7,16,False,False,True,335.97114,30
False,3,19,False,False,False,502.65761,25
False,8,17,False,False,False,1600.0,30
False,3,19,False,False,True,2000.0,30
False,3,23,False,False,True,3245.4611,59
False,7,21,False,False,True,10000.0,30
False,2,20,False,False,True,370.94831700000003,7
False,1,27,False,False,False,185.6205915,59
False,4,11,False,False,True,2354.2756820000004,26
False,4,18,False,False,True,5000.0,30
False,7,15,False,False,True,52.87716518,3
False,6,24,False,False,True,5500.0,28
False,4,18,False,False,True,4500.0,59
False,6,13,False,False,False,20000.0,30
False,4,18,False,False,False,9000.0,45
False,4,19,False,False,True,7670.34526,27
False,4,22,False,False,False,250.95897599999998,30
False,7,23,False,False,True,534.9882299999999,30
False,6,18,False,False,True,1265.71864,30
True,8,20,False,False,True,1348.3121875000002,28
False,7,22,False,False,True,24829.7302,30
False,8,18,False,False,False,6806.088355,10
False,3,21,False,False,False,225.578667,30
False,3,19,False,False,True,50000.0,30
False,5,23,False,False,True,100.0,47
True,3,17,False,False,True,3000.0,30
False,4,14,False,False,True,2200.0,21
False,5,25,False,False,False,25000.0,29
False,9,25,False,False,True,1510.18278,32
False,5,13,False,False,True,200.0,30
False,5,16,False,False,True,19500.0,21
False,7,19,False,False,True,2000.0,7
True,8,14,False,False,True,11620.813,32
False,6,15,False,False,True,30000.0,30
False,8,18,False,False,True,3000.0,30
False,5,23,False,False,False,11277.0,30
False,5,17,False,False,False,3194.6840500000003,30
False,3,22,False,False,False,289.15728,30
False,7,20,False,False,False,20000.0,30
False,9,21,False,False,False,5000.0,34
True,10,24,False,False,False,3000.0,30
False,10,17,False,False,True,5000.0,44
False,6,24,False,False,False,1125.0,30
False,5,17,False,False,True,2500.0,9
False,3,16,False,True,True,2672.8575299999998,58
False,2,21,False,False,False,10000.0,30
True,4,19,False,False,True,2280.60054,25
False,3,15,False,False,True,5000.0,60
False,4,20,False,False,True,1000.0,30
False,6,16,False,False,True,18159.99975,30
True,2,25,False,False,True,129.015888,20
False,6,16,False,False,True,1500.0,35
False,4,18,False,False,False,4629.061837980001,28
False,4,21,False,False,False,3225.3972,34
False,2,21,False,False,True,5000.0,59
False,3,13,False,False,True,5000.0,30
False,6,15,False,False,True,25000.0,30
False,10,15,False,False,True,32385.684999999998,30
False,6,19,False,False,True,900.0,30
False,3,25,False,False,True,35000.0,29
False,4,22,False,False,True,7192.0064999999995,59
False,3,14,False,False,False,400.0,30
False,1,20,False,False,True,69000.0,30
False,4,15,False,False,True,564.9196000000001,30
False,4,17,False,False,False,25000.0,30
False,2,10,False,False,True,2500.0,32
False,4,20,False,False,True,6481.686,40
False,7,22,False,False,False,1000.0,15
False,3,19,False,False,True,35000.0,57
False,8,19,False,False,False,56.465769599999994,2
False,3,17,False,False,True,16000.0,31
False,8,27,False,False,False,25000.0,30
True,3,18,False,False,True,15000.0,30
False,3,18,False,False,False,50000.0,30
True,6,18,False,False,True,44000.0,30
True,2,13,False,False,True,5205.024853000001,31
False,4,12,False,False,False,26960.834500000004,59
False,6,21,False,False,True,250.0,24
False,4,6,False,False,False,377.545695,14
False,5,19,False,False,True,16000.0,35
False,2,8,False,False,False,300.0,57
False,7,18,False,False,True,30000.0,30
True,4,16,False,False,True,14000.0,42
False,5,14,False,False,True,3349.9312,33
False,6,19,False,False,False,17000.0,39
False,6,19,False,False,True,7700.8578,38
False,2,20,False,False,True,15000.0,23
False,3,9,False,False,True,2800.0,29
False,7,18,False,False,False,1000.0,14
False,2,21,False,False,False,1.0,59
False,9,16,False,False,True,15000.0,34
False,3,20,False,False,True,30000.0,30
False,1,18,False,False,False,3174.33108,29
